Name,Description,Material
The Hardtack Sweater in Olive Cashmere Donegal,"There's no expiration on our Hardtack. Created to stand the test of time—from the everlasting, goes-with-everything demeanor, to the meticulous construction, down to the sheepskin elbow reinforcements. This handsome donegal-flecked sweater will beat the chill tomorrow the same as it will in 2028. Plus the cashmere yarns guarantee it's more comfortable than just about anything else you own...","Cashmere. Do we even need to say more? Probably not, but we have all this space. Cashmere comes from a very specific breed of goat. Not only is it finer, stronger, lighter, and softer, than sheep's wool, it's also three times more insulating. Warmer, more comfortable, and longer wearing—what's not to love?"
The Presidio Jacket in Cognac,If there is a single word that can define the care and precision that Golden Bear invests in each Taylor Stitch Jacket it would have to be scrupulous. The commitment to perfection collected from nearly a century of trial and error is revealed in each and every limited edition Presidio Jacket. From the quality of the leather to their custom sewing machines to the finish details and trims—we are fortunate to call Golden Bear our friends and honored to collaborate in building the best leather jackets available anywhere.,"Built with custom tanned leather, each jacket is meticulously cut from a single hide to ensure color and grain consistency throughout. The wool lining, color matched collar and cuff ribbing and lined sleeves round out a perfected package. Constructed with an unmatched attention to detail, you can rest assured this jacket will outlive anything else currently in your closet. "
The Telegraph Trouser in Charcoal Herringbone,"Our idea of the perfect trouser—the Telegraph Trouser leaves no measurement unrefined or stitch unfinished (except the pant hem, of course). Easily worn alone or with its matching jacket, our goal was to build a comfortable-to-wear, goes-with-anything pant that is easily tailored and built for the long haul. It wasn't easy, but we guarantee the Telegraph Trouser checks all the right boxes.","We've taken all the class and elegance of a wool suit and modernized it with an easy-care, easy-wear custom fabric. The wool gives you the look and prestige of a classic suit, while the hint of polyester provides structure and strength to deliver a Jacket impervious to wear, right out of the closet or the suitcase. To put the whole thing over the top, the slightest touch of stretch means the Telegraph Suit will always move with you and never against you. Now try that on for size."
The Telegraph Jacket in Charcoal Herringbone,"Our idea of the perfect suit jacket, the Telegraph leaves no measurement unrefined or stitches unfinished. The Telegraph Jacket can be thrown on with a pair of denim for a casual night out, or worn with its matching trousers at your best friend's wedding. Our goal was to build a comfortable-to-wear, goes-with-anything jacket that is easily tailored and built for the long haul. It wasn't easy, but we guarantee the Telegraph Jacket checks all the right boxes.","We've taken all the class and elegance of a wool suit and modernized it with an easy-care, easy-wear custom fabric. The wool gives you the look and prestige of a classic suit, while the hint of polyester provides structure and strength to deliver a Jacket impervious to wear, right out of the closet or the suitcase. To put the whole thing over the top, the slightest touch of stretch means the Telegraph Suit will always move with you and never against you. Now try that on for size."
The Jack in Indigo Stripe,"We might source fresh materials every now and then, but don’t worry, The Jack you know and love remains the same as ever. It’s the perfect shirt for, well, just about anything—whether you’re debuting it at the office or at a dinner party, it’s sure to turn heads. And because it’s been built for the long haul, you’ll be keeping those heads turning for years to come.","I'm sure you've seen it around the site, but we are 100% committed to our 100% organic cotton fabrics.  No pesticides and no insecticides—it's the way we buy our apples and the way we make our clothes. This time we're offering our promise of responsibility in a custom, subtle-yet-confident Indigo Stripe. "
The Heavy Bag Tee in Black Melange,"We took the soft touch of your favorite decade-old tee, hit it with heavily-seeded texture, and beefed it up. Rugged, but with a gentler side, this heavyweight's sure to slide to the top of your tee rotation.","Utilizing upcycled and recycled yarns, which are shredded and respun, this is the first truly waterless fabric and emits only trace amounts of CO2. Hint: This tee shirt would take about 1,200 gallons of water to make conventionally."
The Heavy Bag Tee in Sea You Again,"We’re excited to introduce some very exclusive additions to our lineup of Heavy Bag Tees. Taking a cue from surf and sand, our Creative Director & co-founder Mike Armenta and close friend Ty Williams collaborated to design three graphic pocket tees just in time for summer. Cut from 100% recycled fabric—we used our waterless Heavy Bags as a canvas to create these three distinctly Californian, yet universal sketches. We only made 100 of each. So, act fast—they won’t last long.","Utilizing upcycled and recycled yarns, which are shredded and respun, this is the first truly waterless fabric and emits only trace amounts of CO2. Hint: This tee shirt would take about 1,200 gallons of water to make conventionally."
The Heavy Bag Tee in Lady Bird,"We’re excited to introduce some very exclusive additions to our lineup of Heavy Bag Tees. Taking a cue from surf and sand, our Creative Director & co-founder Mike Armenta and close friend Ty Williams collaborated to design three graphic pocket tees just in time for summer. Cut from 100% recycled fabric—we used our waterless Heavy Bags as a canvas to create these three distinctly Californian, yet universal sketches. We only made 100 of each. So, act fast—they won’t last long.","Utilizing upcycled and recycled yarns, which are shredded and respun, this is the first truly waterless fabric and emits only trace amounts of CO2. Hint: This tee shirt would take about 1,200 gallons of water to make conventionally."
The Heavy Bag Tee in Desert Night,"We’re excited to introduce some very exclusive additions to our lineup of Heavy Bag Tees. Taking a cue from surf and sand, our Creative Director & co-founder Mike Armenta and close friend Ty Williams collaborated to design three graphic pocket tees just in time for summer. Cut from 100% recycled fabric—we used our waterless Heavy Bags as a canvas to create these three distinctly Californian, yet universal sketches. We only made 100 of each. So, act fast—they won’t last long.","Utilizing upcycled and recycled yarns, which are shredded and respun, this is the first truly waterless fabric and emits only trace amounts of CO2. Hint: This tee shirt would take about 1,000 gallons of water to make conventionally."
The California in Olive Jacquard,"How many dots are there? From afar the detail of the dots is lost in the intriguing texture and refined silhouette, but upon closer inspection the true story of this shirt comes to life. There's more than meets the eye in this fan-favorite version of our California Shirt. We're so enamored with the jacquard weave that we are offering it in two brand new colors.","This custom developed fabric showcases the incredibly intricate nature of a true jacquard weave. In fact, Jacquard looms, designed in 1801, have been identified by IBM as one of the earliest forms of ""computer programming."" While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, responsibly built for the long haul."
The California in Charcoal Jacquard,"How many dots are there? From afar the detail of the dots is lost in the intriguing texture and refined silhouette, but upon closer inspection the true story of this shirt comes to life. There's more than meets the eye in this fan-favorite version of our California Shirt. We're so enamored with the jacquard weave that we are offering it in two brand new colors.","This custom developed fabric showcases the incredibly intricate nature of a true jacquard weave. In fact, Jacquard looms, designed in 1801, have been identified by IBM as one of the earliest forms of ""computer programming."" While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, responsibly built for the long haul."
The Utility Shirt in Charcoal Jacquard,"Fall weather clothing is all about versatility—a shirt should work just as well as a stand alone as it does in a layered ensemble. After all, that’s the definition of utility. With its subtle yet stylistic jacquard weave and earthy tones, our Utility Shirt is made for seasonal transitions. Stuff it in your carry-on, leave it in the passenger seat, or hang it on the back of the door, this shirt is ready for fall foliage.","What does Jacquard mean anyway? Well, it’s a broad term and, in this context, isn’t unlike using the word ‘pastry’ to describe both a muffin and croissant. Sweet breakfast morsels aside, Jacquard is a woven technique in which both the warp and weft yarns move on independent heddels, allowing for thousands of different woven patterns. This particular jacquard is a chunky, textured 8 oz weave made from an 100% organic cotton textile. With high peaks and deep crevices, the Utility Shirt has a one of a kind aesthetic and hand."
The Utility Shirt in Navy Jacquard,"Fall weather clothing is all about versatility—a shirt should work just as well as a stand alone as it does in a layered ensemble. After all, that’s the definition of utility. With its subtle yet stylistic jacquard weave and earthy tones, our Utility Shirt is made for seasonal transitions. Stuff it in your carry-on, leave it in the passenger seat, or hang it on the back of the door, this shirt is ready for fall foliage.","What does Jacquard mean anyway? Well, it’s a broad term and, in this context, isn’t unlike using the word ‘pastry’ to describe both a muffin and croissant. Sweet breakfast morsels aside, Jacquard is a woven technique in which both the warp and weft yarns move on independent heddels, allowing for thousands of different woven patterns. This particular jacquard is a chunky, textured 8 oz weave made from an 100% organic cotton textile. With high peaks and deep crevices, the Utility Shirt has a one of a kind aesthetic and hand."
The Jack in Brushed Teal,"With a perfected slimming fit that allows for comfortable, all-day movement, whether you keep it tucked or untucked, and a three-button collar that looks fresh regardless of the occasion, the Jack is your classic button-up built for the modern era. Dress it up or dress it down and let this fall-weight, brushed version of our bestselling style keep you looking your best in the cooler months ahead.","We're sure you've seen it around the site, but we are 100% committed to our 100% Organic Cotton fabrics. No pesticides and no insecticides—it's the way we buy our apples and the way we make our clothes. This time we're offering our promise of responsibility in a custom, subtle-yet-confident and oh-so-comfortable 7-oz. brushed variation."
The Democratic Chino in Organic Charcoal,The most comfortable and hardest wearing chino out there—now with just a hint of added stretch.,"It's like a hardened steel frame with an air ride suspension. Our custom milled twill is soft, sturdy, has just the right amount of stretch, and built for the long haul."
The Slim Chino in Organic Charcoal,The most comfortable and hardest wearing chino out there—now with just a hint of added stretch.,"It's like a hardened steel frame with an air ride suspension. Our custom milled twill is soft, sturdy, has just the right amount of stretch, and built for the long haul."
The Heavy Bag Tee in Burgundy,"We took the soft touch of your favorite decade-old tee, hit it with heavily-seeded texture, and beefed it up. Rugged, but with a gentler side, this heavyweight's sure to slide to the top of your tee rotation.","Utilizing upcycled and recycled yarns, which are shredded and respun, this is the first truly waterless fabric and emits only trace amounts of CO2. Hint: This tee shirt would take about 1,200 gallons of water to make conventionally."
The Yosemite Shirt in Black,"The Yosemite Shirt is our multi-year effort to create the perfect outdoor men's shirt. At the end of every summer for the last six years, we've sourced the thickest, puppy-soft chamois and produced a new run of one of our absolute favorite garments. Dive in with both hands and grab yours.",Built with 100% Organic Cotton Flannel Chamois—this heavy-duty perfectly brushed flannel never pills and just gets better with age. Good luck wearing through the elbow of this.
The Yosemite Shirt in Hunter,"The Yosemite Shirt is our multi-year effort to create the perfect outdoor men's shirt. At the end of every summer for the last six years, we've sourced the thickest, puppy-soft chamois and produced a new run of one of our absolute favorite garments. Dive in with both hands and grab yours.",Built with 100% Organic Cotton Flannel Chamois—this heavy-duty perfectly brushed flannel never pills and just gets better with age. Good luck wearing through the elbow of this.
The Heavy Bag Waffle Henley in Heather Olive,"A contemporary call-back to the classic thermal henley, our take on this cold-weather staple is a lot warmer and more rugged than what we had when we were kids. When your other shirts are on the ropes, the insulating peaks and valleys of The Heavy Bag Waffle Henley's waffle knit will keep you cozy. After all, cold weather is no reason to stay indoors.","Not only is this heavy-duty waffle knit incredibly comfortable, but it's also made from 100% recycled materials, which means you'll keep feeling warm and fuzzy even after you take it off."
The Heavy Bag Waffle Henley in Heather Grey,"A contemporary call-back to the classic thermal henley, our take on this cold-weather staple is a lot warmer and more rugged than what we had when we were kids. When your other shirts are on the ropes, the insulating peaks and valleys of The Heavy Bag Waffle Henley's waffle knit will keep you cozy. After all, cold weather is no reason to stay indoors.","Not only is this heavy-duty waffle knit incredibly comfortable, but it's also made from 100% recycled materials, which means you'll keep feeling warm and fuzzy even after you take it off."
The Jack in Washed White Poplin,"You've probably heard it by now—the Jack is the shirt that started it all. Your classic button-up built for the modern era. A perfected slimming fit that allows for comfortable, all-day movement, whether you keep it tucked or untucked. A three-button collar that looks fresh no matter the occasion. Dress it up, dress it down, let this Poplin version take you all around town, and then some.","Pop, pop, poplin. Buttoned up or left to fly free, poplin is crisp, clean, and easy-wearing. Poplin was originally named for its high quality, befitting none other than the most famous resident of the Vatican himself—but watch it—the number one side effect of our Poplin is most certainly envy. Try one on for size and it won't take long for you to see."
The California in Grey Mini Stripe,"You like to dress well. But you're not a stiff. You like your clothes to hold up to whatever you throw their way. But you're not one to try too hard. Yep—the California is for you. Clean lines and no buttons to hold you (or your collar) down, this shirt features our unstructured California collar, our signature rounded chest pocket, no pleats on the sleeve or back for easy ironing, and a low side saddle that allows the shirt to stay tucked or look great untucked too. Easy does it.","There's something about a cotton and linen blend that makes you want to get out there and do more. It's less inclined to stretch out, but still very freely moving; it's noticeably abrasion resistant, but has an incredible softness that only gets better and better with each wash and wear; and as we know all too well, this textile is one of the most perfect hot weather companions. Always a class act, indeed."
The Hyde in Sky Linen,"It's that special time of year when you have to step things up a notch. Or maybe it's still your everyday business uniform. Either way, you turn to the Hyde when you need a classic dress shirt that will never fail to impress. Featuring a structured, semi-spread collar with 2¾-inch point lengths, an un-pleated French front, no chest pocket, and an angled single button cuff, another word that comes to mind when we talk about the Hyde is ""refined.""","There's something about a cotton and linen blend that makes you want to get out there and do more. It's less inclined to stretch out, but still very freely moving; it's noticeably abrasion resistant, but has an incredible softness that only gets better and better with each wash and wear; and as we know all too well, this textile is one of the most perfect hot weather companions. Always a class act, indeed."
The Long Haul Jacket in Indigo Waffle,"Not unlike Waffle House's All-Star Special, this Long Haul is a heavy hitting, clear the bases, rarity amongst traditional trucker jackets. Over time, the waffle knit fabric enables intricate fades due to the fabric's peaks and valleys. Indigo dye, like maple syrup, finds solace in the crevices, while exposing the raised threads to the elements and subjecting them to fading. Whether you prefer all-natural or Log Cabin, we can all agree that it's best to make room in the batting order for this Long Haul.","This indigo-dyed 100% cotton waffle woven fabric differentiates itself with a subtle suavity. Given the materials’ weight, we helped jumpstart the ‘breaking-in’ process by running it through a heavy stonewash; giving it the convenience of a ‘just-add-water’ waffle mix with the complexity and nuance of granny’s homemade buttermilk batter."
The Rangeley Sweater in Navy Cash Merino,"From dockside to mountainside to deskside, this finely crafted sweater is our take on the ever-classic and seasonless Nordic uniform. Because just as the glacier-carved fjords can create temperamental summer forecasts, our home on the Bay can similarly see all four seasons in a single summer day. We wanted to offer a layer fit for any season and any occasion, so don’t leave home without it.","Built from the finest wools. The supernatural performance—odor resistant, temperature regulating and naturally breathable—of merino is married with the other-worldly softness of cashmere. Layer it under a piece of outerwear in the foulest weather, or toss it on to beat the chill as your most comfortable self."
The Montara Jacket in Vintage Blue,"Originally from the 30s, this timeless silhouette was revived as the weather barrier of choice for the counterculture trendsetters of the 60s, 70s, 80s and worn by dissidents from James Dean to the Clash. Also, somewhat ironically, this style is given to each president to wear on Air Force One. We'll let you choose which way to wear it.","Our take on the classic Harrington jacket with the attention to detail and build quality you'd expect. Our in-house beachcomber, founder and creative director designed the custom interior print—you'll catch the surf vibes—while the design team pulled out all stops with the addition of the corduroy collar and rugged yet light 7-oz. Cotton/nylon shell."
The Montara Jacket in Hunter,"Originally from the 30s, this timeless silhouette was revived as the weather barrier of choice for the counterculture trendsetters of the 60s, 70s, 80s and worn by dissidents from James Dean to the Clash. Also, somewhat ironically, this style is given to each president to wear on Air Force One. We'll let you choose which way to wear it.","Our take on the classic Harrington jacket with the attention to detail and build quality you'd expect. Our in-house beachcomber, founder and creative director designed the custom interior print—you'll catch the surf vibes—while the design team pulled out all stops with the addition of the corduroy collar and rugged yet light 7-oz. Cotton/nylon shell."
The Democratic Jean in 24 Month Wash,"This stonewashed selvedge denim ensures a broken-in look and feel like two years of hard-worn fades. More Jobs than McQueen but equally equipped to push the envelope, they’re cut in our heralded Democratic fit and ready for the Wild West, Silicon Valley, and every frontier therewithin.","In 1891 brothers Moses and Ceasar Cone opened up shop in Greensboro, North Carolina to establish the legacy and expertise of American-made denim. Sadly, last fall marked the, now globally renowned, denim company's last year in operation and, with it, the end of all denim manufacturing in the United States.  While Cone will still continue their legacy of quality in their international mills, these jeans are some of the last of their kind. We have a limited stock of this storied fabric; these certainly won't last long."
The Slim Jean in 24 Month Wash,"This stonewashed selvedge denim ensures a broken-in look and feel like two years of hard-worn fades. More Jobs than McQueen but equally equipped to push the envelope, they’re cut in our heralded Slim fit and ready for the Wild West, Silicon Valley, and every frontier therewithin.","In 1891 brothers Moses and Ceasar Cone opened up shop in Greensboro, North Carolina to establish the legacy and expertise of American-made denim. Sadly, last fall marked the, now globally renowned, denim company's last year in operation and, with it, the end of all denim manufacturing in the United States.  While Cone will still continue their legacy of quality in their international mills, these jeans are some of the last of their kind. We have a limited stock of this storied fabric; these certainly won't last long."
The Jack in Charcoal Hemp Melange,"Melange is a fancy way of saying mixture. Sure, like many of our words it has its origins in French, but it's now very much in the English vernacular. So, voilà!",This melange fabric is a mixture of threads made entirely from responsibly-farmed hemp and organic cotton. Traditional cotton is responsible for 25% of the world's pesticide use—but you can rest assured we did our diligence to make sure this shirt doesn't use a drop.
The California in Red Shadow Plaid,"Despite the name, you won't find this version of our California lurking in the shadows. Throw it on and let the compliments roll in.","Very lightweight and summer ready, it might look like a fall flannel, but at only 4-oz. in weight, the custom-developed brushed organic cotton fabric cuts into a seasonally ambiguous shirt. Wear it with abandon."
The Gibson Jacket in Asphalt,"Growing up, we learned that the key to travel is blending in. Each trip presents happenstance occurrences that are impossible to predict. Whether you find yourself having dinner with foreign dignitaries, bar hopping with hostel buddies, or trying to impress a museum curator, your ability to succeed is contingent on two things: your suavity and outfit. We channeled this mantra when designing the Gibson Jacket. ","Drawing inspiration from vintage, occasion-agnostic 3-roll, 2-button military jackets, the Gibson features extra buttons and a removable throat latch allowing it to be worn and styled depending on the circumstance. With clean, sophisticated details, internal zippered passport pockets, and the ability to maintain shape while being packed and unpacked, the Gibson is everything we’d want in a travel companion."
The Gibson Jacket in Dark Khaki,"Growing up, we learned that the key to travel is blending in. Each trip presents happenstance occurrences that are impossible to predict. Whether you find yourself having dinner with foreign dignitaries, bar hopping with hostel buddies, or trying to impress a museum curator, your ability to succeed is contingent on two things: your suavity and outfit. We channeled this mantra when designing the Gibson Jacket. ","Drawing inspiration from vintage, occasion-agnostic 3-roll, 2-button military jackets, the Gibson features extra buttons and a removable throat latch allowing it to be worn and styled depending on the circumstance. With clean, sophisticated details, internal zippered passport pockets, and the ability to maintain shape while being packed and unpacked, the Gibson is everything we’d want in a travel companion."
The Jack in Navy Donegal,"“All work and no play makes Jack a dull boy” and a lifeless Jack is the last thing we want. The Jack in Navy Donegal introduces a compelling and tasteful aesthetic to our classic 3-button collar woven, making it truly the antithesis of “dull.” Equal parts conversation starter and show stopper, this shirt is utterly captivating without being flashy or braggy.","Donegal fabric is named after the place it’s manufactured, a town in Northwest Ireland where the textile style first originated. Given the area’s abundant sheep population, the Irish townsfolk began weaving signature twills, herringbone, and one-of-a-kind “flecked” woolen fabrics. This flecked style was popularized and ultimately named after the are from which it was born. In order to obtain this look, deliberate inconsistencies and blemishes are woven into the fabric. Yarns are purposefully knotted and broken, thus providing a “nep” effect. The result is a wonderfully speckled fabric with a unique hand and attractive aesthetic idiosyncrasies. Our modernized, 6 oz. donegal achieves ultimate comfort, drape, and durability through the use of an intricate cotton, silk, wool, and viscose blend."
The Jack in Charcoal Donegal,"“All work and no play makes Jack a dull boy” and a lifeless Jack is the last thing we want. The Jack in Charcoal Donegal introduces a compelling and tasteful aesthetic to our classic 3-button collar woven, making it truly the antithesis of “dull.” Equal parts conversation starter and show stopper, this shirt is utterly captivating without being flashy or braggy.","Donegal fabric is named after the place it’s manufactured, a town in Northwest Ireland where the textile style first originated. Given the area’s abundant sheep population, the Irish townsfolk began weaving signature twills, herringbone, and one-of-a-kind “flecked” woolen fabrics. This flecked style was popularized and ultimately named after the area from which it was born. To obtain this look, deliberate inconsistencies and blemishes are woven into the fabric. Yarns are purposefully knotted and broken, thus providing a “nep” effect. The result is a wonderfully speckled fabric with a unique hand and attractive aesthetic idiosyncrasies. Our modernized, 6 oz. Donegal achieves ultimate comfort, drape, and durability through the use of an intricate cotton, silk, wool, and viscose blend."
The Après Short in Indigo Crepe,"Après all day if you can. We cherish the moments when we’ve checked all the boxes on the to-dos and the only thing left is to chill. So much so, we designed a pair of shorts just for these prized minutes.","What started out as a grounded, almost-too-stiff indigo crepe fabric really came to life after a watershed moment that brought out the personality lurking just beneath its surface. That's right; we put this pair through a light wash to bring out the texture, which will only become more pronounced with every wash and wear. Good-looking, fresh, and collected, the Après Short in Indigo Crepe will steal your heart and those of your friends too."
The Short Sleeve Hawthorne in Navy Floral,"The first of its kind from Taylor Stitch but certainly not the last, we finally designed a shirt with a camp collar. Intended to be worn open and untucked—the simple front placket and Japanese inspired floral print are the perfect companions for this reimagined easy-wearing summer-weight classic.","At only 5 oz. this custom developed 100% organic cotton fabric is the perfect companion for when the mercury rises. While traditional cotton uses 25 percent of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, responsibly built for the long haul."
The Short Sleeve Jack in Grey Dobby,"Summer's here and it's time to ditch the sleeves. Fit for your weekend getaways or cranking away at your desk, this limited Short Sleeve version of our Jack in a lightweight, handsomely textured two-tone dobby has you covered until the first leaves hit the ground this fall. Until then, let this silent killer do all the talking.","Texture and intrigue were the aim when we were at the drawing board dreaming up this limited-edition summer Short Sleeve Jack. We landed on a fabric that is subtly confident, yet a standout from anything currently on offer—and in our minds we hit the bullseye with this organic cotton dobby in a complementary grey and white abstraction."
The Short Sleeve California in Army Seersucker,"Seersucker's a funny thing. Sure, it brings to mind images of Twainian characters grandstandin' and politickin' throughout the American South at the turn of the century, but there's a sure reason it found popularity in those most hot and humid of American climes. When done right, it's literally a breath of fresh air. So when it's the dead of summer and all you're thinking is ""There ain't a goddamn breeze in the state of [blank],"" turn to this very handsome and simple iteration of seersucker, cut in our classic Short Sleeve California, to bring you some cool and breezy relief. Wrinkles definitely included.","Developed during British imperialism in locales from India to the B.V.I., the light and airy quality to the seersucker weave makes for a fabric that lays away from the skin, allowing for greater air circulation when your body needs it most. Coupled with the fact that it doesn't need ironing 'cause it's going to wrinkle no matter what, and you have a fabric perfectly situated for any place you live or travel where the sun reigns supreme."
The Short Sleeve Bandit in Red Mini Floral,"We always have a good time when our limited-edition Floral Short Sleeve comes into bloom. This summer we took one of our favorite warm-weather silhouettes in the Bandit and brought to life a subtle yet stop-in-your-tracks shirt worthy of the hundreds of compliments you're bound to receive. As with any TS Floral, this rendition gives off just the right amount of ""soft"" vibes as the minimal two-tone print sits perfectly against a striking red backdrop.","Our design team searched high and low for the perfect print to showcase on this year's limited Floral Short Sleeve—enter the Red Mini Floral cut from 100% Organic Cotton. Weighing in at a very light and airy 3 ounces, this floral will easily go hand-in-hand with the summer heat and humidity and let everyone know exactly the mood you're in. A good one. You just need another beer ASAP."
The Boardshort in Black & White Print,"Beach, reef, or point break agnostic, our boardshorts are fit for the toughest paddle outs and tightest tubes. With stretch in spades, never be limited by your clothing, whether that means thrashing a cutback or indulging in boardwalk delectables. From coast to island, these boardies are most at home in salt water.","Like a water-ready version of our camp shorts, these boardies are cut just above the knee with fixed waistband and durable craftsmanship. Made with a four-way stretch recycled polyester-spandex blend, and complete with a custom designed print from our Co-founder and Creative Director, Mikey Armenta, your stitching will be hardwearing and style unparalleled. Whether you’re deep diving in Kona or nose riding in Bolinas, our boardshorts are designed to be lived in."
The Boardshort in Clay,"Beach, reef, or point break agnostic, our boardshorts are fit for the toughest paddle outs and tightest tubes. With stretch in spades, never be limited by your clothing, whether that means thrashing a cutback or indulging in boardwalk delectables. From coast to island, these boardies are most at home in salt water.","Like a water-ready version of our camp shorts, these boardies are cut just above the knee with fixed waistband and durable craftsmanship. Made with a four-way stretch recycled polyester-spandex blend, this pair of summer shorts will be hardwearing and style unparalleled. Whether you’re deep diving in Kona or nose riding in Bolinas, our boardshorts are designed to be lived in."
The Yuba Trunk in Yellow Print,"When the miles and wildflowers meander on, the ‘light at the end of the tunnel’ may come in the form of a swimming hole, waterfall, or snow run off-filled lake. The irresistible urge to jump in can only be stymied by cotton shorts or a hesitance of stripping down au natural. We stitched each pair of these summer-ready trunks with adventure in mind. From land to sea, mountain to lake, and wandering to wading, water awaits as soon as your shirt hits the ground.","Made from a 4.5 oz. DWR finished polyester and spandex blend, our Yuba shorts move with you, whether you’re in the water or on land. Starting with a classic trunk silhouette as the canvas, Co-Founder and Creative Director, Mikey Armenta, added a bit of TS flare with his custom designed prints and TS-specific fixtures. With a mesh liner, two front welt pockets, and a back brass snapped pocket, be sure to ditch the phone before your first dive."
The Heavy Bag Tee in Natural & Navy Rugby Stripe,"Keep your stripes thick and your tubes hollow. The Navy Stripe Heavy Bag channels the edgy, vintage surf charm that clenched coastal youth in an unrelenting cultural chokehold. Popularized by the effortless wave riding of early surf pioneers, the Navy Stripe tee is meant to be pulled over salty hair, sunburnt shoulders, and a pair of Birdwell Beach Britches.","Utilizing upcycled and recycled yarns, which are shredded and respun, this is the first truly waterless fabric and emits only trace amounts of CO2. Hint: This tee shirt would take about 1,200 gallons of water to make conventionally."
The Jack in Washed Navy Poplin,"Pop, pop, poplin. Buttoned up or left to fly free, poplin is crisp, clean, and easy-wearing. Tailored to our exacting standards, pair these this shirt with anything from swim trunks to chinos and enjoy each and every one of the dog days.","Poplin was originally named for its high quality, befitting none other than the most famous resident of the Vatican himself—but watch it—the number one side effect of our Poplin is most certainly envy."
The Short Sleeve California in White Poplin,"Pop, pop, poplin. Buttoned up or left to fly free, poplin is crisp, clean, and easy-wearing. Tailored to our exacting standards, pair this shirt with anything from swim trunks to chinos and enjoy each and every one of the dog days.","Poplin was originally named for its high quality, befitting none other than the most famous resident of the Vatican himself—but watch it—the number one side effect of our Poplin is most certainly envy."
The Heavy Bag Baseball Tee in Navy,"Softer and burlier than your old little league tee—we sew each Heavy Bag Shirt from custom developed textiles made entirely from upcycled and recycled yarns. 100% waterless, 100% soft and 100% built for the long haul.","Utilizing upcycled and recycled yarns, which are shredded and respun, this is the first truly waterless fabric and emits only trace amounts of CO2. Hint: This long-sleeve would take about 1200 gallons of water to make conventionally."
The Triblend Long Sleeve in Charcoal Stripe,"Our Triblend Tee is built utilizing the same process as the famed Heavy Bag. To lighten the tee’s weight and improve its hand we incorporate eucalyptus wood pulp (i.e., Tencel) grown in pesticide-free, socially and environmentally responsible forests. A better blend for those warm-weather weekends.","Our latest tees are nothing but a classic case of teamwork: 3 simple materials from simple beginnings are combined and given a second chance to create something extraordinary. Organic Cotton discarded on factory cutting room floors, Recycled Polyester with a previous life as a single water bottle, and Tencel fibers regenerated from sustainably farmed eucalyptus trees. Nothing more is added, and nothing more is needed. "
The Triblend Tee in White,"Our Triblend Tee is built utilizing the same process as the famed Heavy Bag. To lighten the tee’s weight and improve its hand we incorporate eucalyptus wood pulp (i.e., Tencel) grown in pesticide-free, socially and environmentally responsible forests. A better blend for those warm-weather weekends.","Our latest tees are nothing but a classic case of teamwork: 3 simple materials from simple beginnings are combined and given a second chance to create something extraordinary. Organic Cotton discarded on factory cutting room floors, Recycled Polyester with a previous life as a single water bottle, and Tencel fibers regenerated from sustainably farmed eucalyptus trees. Nothing more is added, and nothing more is needed. "
The Triblend Tee in Black,"Our Triblend Tee is built utilizing the same process as the famed Heavy Bag. To lighten the tee’s weight and improve its hand we incorporate eucalyptus wood pulp (i.e., Tencel) grown in pesticide-free, socially and environmentally responsible forests. A better blend for those warm-weather weekends.","Our latest tees are nothing but a classic case of teamwork: 3 simple materials from simple beginnings are combined and given a second chance to create something extraordinary. Organic Cotton discarded on factory cutting room floors, Recycled Polyester with a previous life as a single water bottle, and Tencel fibers regenerated from sustainably farmed eucalyptus trees. Nothing more is added, and nothing more is needed. "
The Triblend Tee in Grey,"Our Triblend Tee is built utilizing the same process as the famed Heavy Bag. To lighten the tee’s weight and improve its hand we incorporate eucalyptus wood pulp (i.e., Tencel) grown in pesticide-free, socially and environmentally responsible forests. A better blend for those warm-weather weekends.","Our latest tees are nothing but a classic case of teamwork: 3 simple materials from simple beginnings are combined and given a second chance to create something extraordinary. Organic Cotton discarded on factory cutting room floors, Recycled Polyester with a previous life as a single water bottle, and Tencel fibers regenerated from sustainably farmed eucalyptus trees. Nothing more is added, and nothing more is needed. "
The Camp Short in Slub Chambray,"Throw them on and go. This update to our Camp Shorts looks great, feels great, and will wash and wear down to an unexpected softness. The best part? These will still be your favorite shorts in 10 years time. Doesn't hurt they're good for the environment too.","The cotton used in the Camp Short has been repurposed from two sources. One: the excess cloth from the cutting rooms of neighboring factories are pulped and re-spun into usable fibers. Two: post-consumer cotton is diverted through a special refinement process and turned into usable raw materials. The result is a beautiful, sturdy fabric that impacts our planet less by limiting overall water use and CO2 emissions."
The Brogue in Espresso Leather,"Class them up with a Telegraph Suit or keep it mellow with a pair of '68 Denim—similar to a Swiss watch or a handcrafted belt, a well-constructed shoe will make any outfit stand out from the rest. The best part of this pair? They're built the right way with a rebuildable Goodyear welt and will keep your style game in top shape for decades to come.","The Brogue is universal to the downtown sidewalks of any metropolis but entirely rooted in outdoor pursuit. Originally, the now decorative holes where stamped in the leather to allow hunting shoes to drain and breathe for days spent in the backcountry. "
